chrNo	Region_start	Region_end	NoofWin	Extramzvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB743442.1	100000	140000	1	-2.228587116	9	9	"miR-1497b_odi-miR-1497b,novel_mir_877,novel_mir_948"	"1,5,5"	"miRNA,miRNA,miRNA"
KB743466.1	80000	240000	6	-2.06364864	7	30	"miR-4680-5p_hsa-miR-4680-5p,miR-5402*_aca-miR-5402*,miR-2325b_bta-miR-2325b,miR-4077a-5p_cin-miR-4077a-5p,miR-3278_bmo-miR-3278,miR-25-5p_hsa-miR-25-5p,miR-18a_gga-miR-18a,miR-18a-5p_hsa-miR-18a-5p,miR-3578_bta-miR-3578,miR-1837_cfa-miR-1837,miR-55*_crm-miR-55*,miR-509a_age-miR-509a,miR-1422k-3p_oan-miR-1422k-3p,miR-4463_hsa-miR-4463,miR-4555_pma-miR-4555,ENSAPLT00000015476,miR-4446-3p_hsa-miR-4446-3p"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,GLIS3,miRNA"
KB743499.1	40000	80000	1	-2.047281468	22	22	"miR-2030*_nve-miR-2030*,miR-1657_gga-miR-1657,ENSAPLT00000000511,ENSAPLT00000011149"	"1,1,7,8"	"miRNA,miRNA,<28626+,>71056+TMEM161B"
KB743534.1	20000	80000	2	-4.006436641	30	47	ENSAPLT00000014497	4	GRM8
KB743534.1	120000	260000	6	-4.187703357	23	85	"miR-86_asu-miR-86,miR-186-5p_mmu-miR-186-5p,novel_mir_1175,miR-3542_rno-miR-3542,miR-2790*_bmo-miR-2790*,ENSAPLT00000014497"	"1,1,1,1,1,2"	"miRNA,miRNA,miRNA,miRNA,miRNA,GRM8"
KB743534.1	280000	320000	1	-4.21210393	32	32	"miR-4803_hsa-miR-4803,miR-2790*_bmo-miR-2790*,ENSAPLT00000014497"	"1,1,2"	"miRNA,miRNA,GRM8"
KB743534.1	340000	380000	1	-4.195190071	107	107	"miR-883b-5p_mmu-miR-883b-5p,miR-1407_oan-miR-1407,ENSAPLT00000014497"	"1,1,2"	"miRNA,miRNA,GRM8"
KB743540.1	160000	220000	2	-2.348676202	11	22	"miR-491-5p_hsa-miR-491-5p,miR-124e*_sme-miR-124e*,miR-973-5p_dme-miR-973-5p,ENSAPLT00000000084"	"1,1,1,7"	"miRNA,miRNA,miRNA,<2352+U6"
KB743543.1	340000	420000	3	-5.477115141	0	1	"miR-4006b-5p_cin-miR-4006b-5p,miR-3878-3p_tca-miR-3878-3p,miR-3387*_bmo-miR-3387*,miR-3782_ame-miR-3782,bantam*_cqu-bantam*,miR-3382_bmo-miR-3382,ENSAPLT00000006672"	"1,1,1,1,1,1,3"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,LYST"
KB743546.1	300000	400000	4	-4.145495951	16	19	"novel_mir_178,novel_mir_948,miR-2503_dps-miR-2503,ENSAPLT00000015596"	"1,1,1,3"	"miRNA,miRNA,miRNA,PREP"
KB743778.1	20000	200000	7	-2.027454807	15	33	"ENSAPLT00000004853,ENSAPLT00000004950,miR-135a-5p_mmu-miR-135a-5p,miR-1010*_dps-miR-1010*,miR-4782-5p_hsa-miR-4782-5p,miR-301a_dre-miR-301a,miR-301a-3p_mmu-miR-301a-3p,miR-301b-3p_gga-miR-301b-3p,miR-301c_dre-miR-301c,miR-221_bta-miR-221,miR-221-3p_hsa-miR-221-3p,miR-2481_bta-miR-2481,miR-4108-5p_cin-miR-4108-5p,miR-2363_bta-miR-2363,miR-33b-5p_hsa-miR-33b-5p"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	"ESM1,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743778.1	240000	280000	1	-2.057791231	11	11	"miR-4001b-5p_cin-miR-4001b-5p,ENSAPLT00000001594,ENSAPLT00000005092"	"1,7,8"	"miRNA,<10819-HSPB3,>52098+ARL15"
KB743778.1	320000	420000	3	-2.001661707	10	28	"ENSAPLT00000005092,miR-2580_dsi-miR-2580,miR-4504_hsa-miR-4504,miR-4133-3p_cin-miR-4133-3p,miR-1687*_gga-miR-1687*,miR-4008b-5p_cin-miR-4008b-5p,miR-2500-3p_dme-miR-2500-3p"	"1,1,1,1,1,1,1"	"ARL15,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743868.1	240000	300000	2	-2.327280093	10	13	"miR-751_sme-miR-751,miR-4797-5p_hsa-miR-4797-5p,miR-4445-3p_hsa-miR-4445-3p,ENSAPLT00000009597"	"1,1,1,4"	"miRNA,miRNA,miRNA,DTWD2"
KB743868.1	580000	620000	1	-3.34942115	1	1	"miR-285-3p_dme-miR-285-3p,ENSAPLT00000010437"	"1,3"	miRNA
KB743886.1	340000	380000	1	-4.048030821	509	509	"ENSAPLT00000010218,miR-2457_bta-miR-2457,miR-3494_sja-miR-3494"	"1,1,1"	"ATG4A,miRNA,miRNA"
KB743948.1	380000	420000	1	-4.189767431	17	17	"ENSAPLT00000001222,ENSAPLT00000010170,novel_mir_842,miR-4073-5p_cin-miR-4073-5p,ENSAPLT00000009745,ENSAPLT00000010779"	"1,1,1,1,3,4"	"REP15,CYB5R3,miRNA,miRNA,PPFIBP1"
KB743964.1	100000	140000	1	-2.408849866	8	8	"miR-5347_asu-miR-5347,miR-2469_bta-miR-2469,miR-2071*_bfl-miR-2071*,ENSAPLT00000016668"	"1,1,1,7"	"miRNA,miRNA,miRNA,<42173+"
KB743964.1	200000	240000	1	-2.216768099	7	7	"miR-272_cel-miR-272,miR-3913-5p_hsa-miR-3913-5p,miR-3126-5p_hsa-miR-3126-5p,miR-4003a-3p_cin-miR-4003a-3p,miR-4795-3p_hsa-miR-4795-3p,ENSAPLT00000016668,ENSAPLT00000016720"	"1,1,1,1,5,7,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,<142173+,>80488-NPR3"
KB744001.1	100000	140000	1	-2.414042192	9	9	"miR-146c_gga-miR-146c,miR-369-3p_hsa-miR-369-3p,ENSAPLT00000002728"	"1,1,2"	"miRNA,miRNA,DNAI1"
KB744024.1	0	100000	4	-2.207637667	30	71	"miR-5197-3p_hsa-miR-5197-3p,novel_mir_412,miR-998-5p_dme-miR-998-5p,miR-302b_cfa-miR-302b,miR-4139-5p_cin-miR-4139-5p,miR-335_rno-miR-335"	"1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB744112.1	0	40000	1	-4.610730523	4	4	miR-5393_aca-miR-5393	1	miRNA
KB744125.1	20000	80000	2	-4.057093437	59	61	"miR-1658*_gga-miR-1658*,miR-309_dgr-miR-309,miR-467b-3p_mmu-miR-467b-3p,ENSAPLT00000001739,ENSAPLT00000007995"	"1,1,1,7,8"	"miRNA,miRNA,miRNA,<13174-TNFAIP8L3,>5600-CYP19A1"
KB744159.1	380000	440000	2	-2.004055599	15	33	"miR-4477b_hsa-miR-4477b,miR-4799-3p_hsa-miR-4799-3p,miR-330_rno-miR-330,ENSAPLT00000014912"	"1,1,1,3"	"miRNA,miRNA,miRNA,NDUFS4"
KB744240.1	0	80000	3	-2.18329955	12	17	"miR-4049-3p_cin-miR-4049-3p,miR-29-5p_tca-miR-29-5p,miR-3527_gga-miR-3527,novel_mir_602,miR-277b-3p_sme-miR-277b-3p,miR-548ao-3p_hsa-miR-548ao-3p,miR-973-5p_dme-miR-973-5p,miR-973-5p_dme-miR-973-5p,miR-101b_rno-miR-101b,ENSAPLT00000005345"	"1,1,1,1,1,1,1,1,1,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,>98864+"
KB744240.1	240000	280000	1	-2.366061177	22	22	"ENSAPLT00000005726,miR-1731_gga-miR-1731,miR-449c-5p_xtr-miR-449c-5p,miR-1788a-3p_pma-miR-1788a-3p,miR-496-5p_mmu-miR-496-5p,ENSAPLT00000005827"	"1,1,1,1,1,4"	"CLTA,miRNA,miRNA,miRNA,miRNA,GNE"
KB744292.1	320000	360000	1	-4.512193966	8	8	"ENSAPLT00000007753,miR-3653_hsa-miR-3653"	"1,1"	"ZNF438,miRNA"
KB744350.1	20000	60000	1	-3.343568853	16	16	"miR-2442_bta-miR-2442,miR-1822_asu-miR-1822"	"1,1"	"miRNA,miRNA"
KB744414.1	20000	80000	2	-2.248381893	15	44	"miR-263b-5p_dme-miR-263b-5p,miR-3145-5p_hsa-miR-3145-5p,miR-4084-3p_cin-miR-4084-3p,novel_mir_189,miR-5113_mmu-miR-5113,miR-71_cbr-miR-71"	"1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB744465.1	0	40000	1	-5.224942343	3	3	"miR-4001b-2-3p_cin-miR-4001b-2-3p,miR-363_cfa-miR-363,miR-520g_mml-miR-520g,miR-3188_hsa-miR-3188"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB744477.1	760000	840000	3	-4.424694164	4	24	"ENSAPLT00000004358,miR-483-3p_hsa-miR-483-3p,miR-430f_pma-miR-430f,miR-3386_bmo-miR-3386,miR-5135_mmu-miR-5135,miR-3386_bmo-miR-3386,novel_mir_1137,ENSAPLT00000004569"	"1,1,1,1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,PER2"
KB745249.1	20000	120000	3	-2.0674519	10	19	"miR-2816_bmo-miR-2816,miR-4011b-5p_cin-miR-4011b-5p"	"1,1"	"miRNA,miRNA"
KB745254.1	40000	80000	1	-3.469438801	11	11	miR-4760-5p_hsa-miR-4760-5p	1	miRNA
KB747311.1	20000	60000	1	-2.181781741	13	13	"miR-4001b-2-3p_cin-miR-4001b-2-3p,novel_mir_552"	"1,1"	"miRNA,miRNA"
KB751155.1	220000	300000	2	-3.545509625	2	3	"miR-4220-3p_cin-miR-4220-3p,miR-4444_hsa-miR-4444,miR-452-5p_hsa-miR-452-5p,ENSAPLT00000016981"	"1,1,1,3"	"miRNA,miRNA,miRNA,DGKQ"
¡°overlapcode¡± represent different situations that selected region overlap with genes.									
1: gene contained within region.									
2: region contained within gene.									
3: region overlaps 5¡¯-end of genes.									
4: region overlaps 3¡¯-end of genes.									
5: the 3¡¯-end of genes is within 1kb of region.									
6: the 5¡¯-end of genes is within 1kb of region									
7:the 3¡¯-end of genes is within 180kb of region (only show the nearest one)									
8:the 5¡¯-end of genes is within 180kb of region (only show the nearest one)									
"geneID represent gene symbol as the order of ""transcpt"","">"" represent this is the nearest gene locate in the 180kb downstream of the selected region.""<""represent this is the nearest gene locate in the 180kb upstream of the selected region."									
