ChrNo	Region_start	Region_end	NoofWin	Extram zvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742728.1	90000	120000	2	-4.240243234	76	93	"miR-1484_odi-miR-1484,novel_mir_998,novel_mir_478,miR-206*_rno-miR-206*,ENSAPLT00000014806"	"1,1,1,1,8"	"miRNA,miRNA,miRNA,miRNA,>12449+"
KB742737.1	140000	190000	4	-1.590493482	91	131	"novel_mir_48,miR-1684_gga-miR-1684,miR-642a-3p_hsa-miR-642a-3p,novel_mir_121,miR-281*_lgi-miR-281*,miR-2414_bta-miR-2414,miR-532-5p_rno-miR-532-5p,miR-785_cel-miR-785,ENSAPLT00000008051"	"1,1,1,1,1,1,1,1,7"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,<120485+"
KB742741.1	160000	190000	2	-2.195556986	51	59	"miR-4423-3p_hsa-miR-4423-3p,novel_mir_791,ENSAPLT00000014337"	"1,1,4"	"miRNA,miRNA,MPDZ"
KB742741.1	230000	250000	1	-1.698896913	54	54	"novel_mir_192,ENSAPLT00000014337"	"1,2"	"miRNA,MPDZ"
KB742741.1	360000	390000	2	-1.589429562	101	101	"miR-2365_bta-miR-2365,miR-3934_hsa-miR-3934,ENSAPLT00000014848"	"1,1,7"	"miRNA,miRNA,<89199-"
KB742742.1	40000	70000	2	-1.656279514	61	71	"miR-2742_bmo-miR-2742,ENSAPLT00000015063"	"1,8"	"miRNA,>173976-PARP8"
KB742742.1	90000	110000	1	-1.904018053	63	63	"miR-641_ptr-miR-641,ENSAPLT00000015063"	"1,8"	"miRNA,>133976-PARP8"
KB742742.1	230000	250000	1	-3.130423702	54	54	"miR-3157-5p_hsa-miR-3157-5p,miR-503_cfa-miR-503,novel_mir_1161,novel_mir_76,ENSAPLT00000015063"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,PARP8"
KB742742.1	260000	310000	4	-1.612359056	58	68	"miR-515-5p_hsa-miR-515-5p,miR-5445_aca-miR-5445,miR-4953-3p_dme-miR-4953-3p,miR-355_crm-miR-355,miR-465*_rno-miR-465*,ENSAPLT00000015063"	"1,1,1,1,1,3"	"miRNA,miRNA,miRNA,miRNA,miRNA,PARP8"
KB742746.1	340000	370000	2	-1.883330019	13	25	miR-4178a-5p_cin-miR-4178a-5p	1	miRNA
KB742746.1	390000	410000	1	-1.916184687	29	29	novel_mir_1029	1	miRNA
KB742746.1	480000	500000	1	-1.544395466	29	29			
KB742750.1	2050000	2080000	2	-5.05994327	29	40	ENSAPLT00000004798	7	<121434+INHBA
KB742750.1	2200000	2230000	2	-4.287328362	28	32	"miR-3167_hsa-miR-3167,miR-3837-5p_tca-miR-3837-5p,ENSAPLT00000004869"	"1,1,8"	"miRNA,miRNA,>167813-"
KB742750.1	2950000	2970000	1	-4.600330912	27	27	ENSAPLT00000005304	2	POU6F2
KB742750.1	3250000	3270000	1	-5.319933024	36	36	"miR-309_dgr-miR-309,ENSAPLT00000005433,ENSAPLT00000005940"	"1,7,8"	"miRNA,<38195+VPS41,>25043+AMPH"
KB742750.1	3290000	3320000	2	-4.451301836	37	54	ENSAPLT00000005940	4	AMPH
KB742762.1	70000	90000	1	-4.233144467	19	19	miR-4132-3p_cin-miR-4132-3p	1	miRNA
KB742762.1	110000	140000	2	-4.616134138	26	54	"miR-3778_ame-miR-3778,miR-3037_api-miR-3037,novel_mir_430,miR-339b_bta-miR-339b,miR-1969_mmu-miR-1969,miR-1983_mmu-miR-1983"	"1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742767.1	370000	390000	1	-2.29155322	54	54	"novel_mir_205,ENSAPLT00000011387"	"6,7"	"miRNA,<26543+FBXL17"
KB742767.1	510000	530000	1	-2.407576886	42	42	"miR-3191-5p_hsa-miR-3191-5p,miR-153*_rno-miR-153*,novel_mir_1007,ENSAPLT00000011387"	"1,6,6,7"	"miRNA,miRNA,miRNA,<166543+FBXL17"
KB742769.1	20000	40000	1	-3.193046749	10	10	"miR-4650-3p_hsa-miR-4650-3p,miR-4203-3p_cin-miR-4203-3p,miR-3158-3p_hsa-miR-3158-3p,ENSAPLT00000016704,novel_mir_33"	"1,1,1,4,5"	"miRNA,miRNA,miRNA,miRNA"
KB742772.1	0	30000	2	-4.16372454	82	83	"miR-454a_dre-miR-454a,novel_mir_572,miR-3862-5p_tca-miR-3862-5p,miR-3173-3p_hsa-miR-3173-3p,ENSAPLT00000012376"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,PDCD6IP"
KB742772.1	380000	400000	1	-12.87764166	18	18	miR-996-3p_dme-miR-996-3p	1	miRNA
KB742780.1	80000	100000	1	-5.15144115	58	58	ENSAPLT00000008460	8	>11742-NOVA1
KB742781.1	1910000	1940000	2	-4.18618872	72	78	"miR-3121-3p_hsa-miR-3121-3p,miR-2293_bta-miR-2293"	"1,6"	"miRNA,miRNA"
KB742785.1	700000	730000	2	-5.38159756	40	52	"ENSAPLT00000001628,novel_mir_513,novel_mir_81,novel_mir_513,novel_mir_81,novel_mir_513,novel_mir_81,novel_mir_513,novel_mir_81,novel_mir_513,novel_mir_81,novel_mir_513,novel_mir_81,novel_mir_513,miR-29c*_xtr-miR-29c*"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742785.1	750000	780000	2	-4.855738427	61	68	"miR-316-5p_tca-miR-316-5p,ENSAPLT00000001628,ENSAPLT00000013625"	"5,7,8"	"miRNA,<30972+,>158090-PLA2G4A"
KB742785.1	800000	820000	1	-4.064735855	35	35	"miR-509-3p_hsa-miR-509-3p,ENSAPLT00000001628,ENSAPLT00000013625"	"6,7,8"	"miRNA,<80972+,>118090-PLA2G4A"
KB742785.1	830000	850000	1	-4.859116911	37	37	"ENSAPLT00000001628,ENSAPLT00000013625"	"7,8"	"<110972+,>88090-PLA2G4A"
KB742785.1	920000	970000	4	-4.46815878	23	42	"novel_mir_105,miR-505*_rno-miR-505*,miR-4836*_sko-miR-4836*,ENSAPLT00000013625"	"1,1,1,4"	"miRNA,miRNA,miRNA,PLA2G4A"
KB742785.1	1090000	1120000	2	-4.448434883	21	34	"novel_mir_545,ENSAPLT00000014480"	"1,7"	"miRNA,<29416+PTGS2"
KB742786.1	20000	40000	1	-2.703453981	71	71	"miR-1a-1-5p_mmu-miR-1a-1-5p,ENSAPLT00000012812"	"1,8"	"miRNA,>92313-"
KB742786.1	210000	230000	1	-2.203991198	66	66	ENSAPLT00000012812	2	
KB742786.1	380000	420000	3	-1.551292765	77	148	"miR-3161_hsa-miR-3161,miR-548m_hsa-miR-548m,miR-217-5p_mmu-miR-217-5p,novel_mir_151,ENSAPLT00000012853"	"1,1,1,1,3"	"miRNA,miRNA,miRNA,miRNA"
KB742786.1	480000	510000	2	-1.645599031	81	134	"miR-2212-3p_cel-miR-2212-3p,miR-669o-5p_mmu-miR-669o-5p,ENSAPLT00000013585"	"1,1,3"	"miRNA,miRNA"
KB742787.1	320000	340000	1	-5.327777881	15	15	"miR-152b_pma-miR-152b,ENSAPLT00000013901"	"1,7"	"miRNA,<52050-GRAMD3"
KB742790.1	20000	40000	1	-2.350624669	38	38	"miR-2208a-5p_cel-miR-2208a-5p,miR-973-5p_dme-miR-973-5p,miR-548u_hsa-miR-548u"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742791.1	220000	250000	2	-3.317610663	26	26	"miR-3614-3p_hsa-miR-3614-3p,ENSAPLT00000006122"	"1,5"	miRNA
KB742791.1	1260000	1280000	1	-1.672274141	81	81	ENSAPLT00000008306	7	<78694-GRIN3A
KB742796.1	30000	60000	2	-4.803947058	79	93	"novel_mir_577,miR-5195-5p_hsa-miR-5195-5p,miR-3486-5p_sja-miR-3486-5p"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742796.1	90000	120000	2	-4.161261662	59	89			
KB742802.1	190000	210000	1	-4.111650355	52	52	"ENSAPLT00000009208,ENSAPLT00000008357"	"2,3"	ANK3
KB742803.1	80000	100000	1	-6.357889576	181	181	ENSAPLT00000010491	3	RANBP3
KB742808.1	150000	170000	1	-4.77961461	34	34	"novel_mir_244,ENSAPLT00000003647"	"1,2"	"miRNA,SORBS1"
KB742808.1	560000	590000	2	-6.020476784	45	60	"miR-4289_hsa-miR-4289,ENSAPLT00000006781,ENSAPLT00000006793"	"1,4,4"	"miRNA,FUT11,SYNPO2L"
KB742813.1	30000	60000	2	-1.557951338	95	99	"miR-237*_cbr-miR-237*,miR-4006a-5p_cin-miR-4006a-5p,ENSAPLT00000015334"	"1,1,8"	"miRNA,miRNA,>50224-TMEM2"
KB742813.1	100000	120000	1	-1.580034484	80	80	ENSAPLT00000015334	4	TMEM2
KB742813.1	220000	250000	2	-1.562952411	130	154	"miR-2795_bmo-miR-2795,miR-302b*_gga-miR-302b*,ENSAPLT00000015880,ENSAPLT00000015939"	"1,1,7,8"	"miRNA,miRNA,<10323+C9orf85,>6432+GDA"
KB742813.1	260000	290000	2	-1.672646593	125	145	"novel_mir_659,miR-2370*_bta-miR-2370*,miR-2248_ppc-miR-2248,miR-3094-5p_mmu-miR-3094-5p,ENSAPLT00000015939"	"1,1,1,1,3"	"miRNA,miRNA,miRNA,miRNA,GDA"
KB742815.1	840000	890000	3	-4.553040856	56	114	"miR-717_mmu-miR-717,miR-200c_dre-miR-200c,let-7-3p_dme-let-7-3p,miR-3658_hsa-miR-3658,ENSAPLT00000007519"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,IGF2R"
KB742834.1	960000	980000	1	-1.68978616	70	70	ENSAPLT00000014592	7	<44233+
KB742836.1	650000	670000	1	-5.376349258	51	51	miR-3192_hsa-miR-3192	1	miRNA
KB742836.1	850000	880000	2	-4.517804664	43	51	miR-4944-3p_dme-miR-4944-3p	1	miRNA
KB742836.1	940000	960000	1	-4.368467823	82	82			
KB742837.1	50000	70000	1	-2.077900802	14	14	"miR-1819-5p_cel-miR-1819-5p,miR-2570*_dps-miR-2570*,miR-1773*_gga-miR-1773*,ENSAPLT00000015086"	"1,1,1,4"	"miRNA,miRNA,miRNA"
KB742838.1	20000	40000	1	-2.411587225	26	26	ENSAPLT00000009975	7	<16954-SETBP1
KB742842.1	140000	170000	2	-5.094168687	74	100	"miR-541-3p_hsa-miR-541-3p,ENSAPLT00000012651"	"1,2"	"miRNA,GRIA4"
KB742842.1	750000	770000	1	-4.001713411	48	48	miR-263a*_aae-miR-263a*	1	miRNA
KB742850.1	470000	500000	2	-1.67783826	59	60	"miR-1420e_oan-miR-1420e,miR-1271_ssc-miR-1271,let-7f-1*_rno-let-7f-1*,let-7f-1-3p_hsa-let-7f-1-3p,ENSAPLT00000005603"	"1,1,1,1,7"	"miRNA,miRNA,miRNA,miRNA,<141138+PSAT1"
KB742853.1	260000	280000	1	-4.737259323	132	132	"miR-1421ak*_oan-miR-1421ak*,ENSAPLT00000012960"	"1,7"	"miRNA,<76459-CTSO"
KB742854.1	270000	290000	1	-5.03386527	51	51			
KB742872.1	30000	50000	1	-4.50355511	93	93	miR-29-3p_cin-miR-29-3p	1	miRNA
KB742872.1	80000	100000	1	-4.77969696	138	138	novel_mir_1139	6	miRNA
KB742872.1	120000	140000	1	-4.423574711	133	133	miR-2424_bta-miR-2424	1	miRNA
KB742872.1	240000	260000	1	-4.193936209	104	104	"novel_mir_910,miR-4071-3p_cin-miR-4071-3p"	"1,1"	"miRNA,miRNA"
KB742876.1	60000	80000	1	-3.090535838	26	26	"miR-345-5p_hsa-miR-345-5p,miR-101-5p_hsa-miR-101-5p,miR-263b_dpu-miR-263b"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742876.1	130000	150000	1	-1.703837227	23	23	"miR-5003-3p_hsa-miR-5003-3p,miR-448_rno-miR-448,ENSAPLT00000002268"	"1,1,8"	"miRNA,miRNA,>153448-"
KB742876.1	450000	470000	1	-3.567021347	33	33	"miR-1185-5p_hsa-miR-1185-5p,miR-2292_bta-miR-2292,ENSAPLT00000014832"	"1,1,4"	"miRNA,miRNA,CORO2A"
KB742876.1	580000	610000	2	-1.616612764	16	27	"ENSAPLT00000016702,miR-4000e-3p_cin-miR-4000e-3p,miR-2131_gga-miR-2131,ENSAPLT00000016305,ENSAPLT00000016451"	"1,1,1,2,3"	"SMU1,miRNA,miRNA,APTX,DNAJA1"
KB742876.1	640000	660000	1	-1.692795538	14	14	"ENSAPLT00000016987,miR-1198-5p_mmu-miR-1198-5p,miR-1337_oan-miR-1337,ENSAPLT00000016305,ENSAPLT00000011938"	"1,1,1,2,6"	"SPINK4,miRNA,miRNA,APTX"
KB742877.1	70000	90000	1	-4.669165293	25	25	"ENSAPLT00000000061,ENSAPLT00000000340,ENSAPLT00000016418,miR-516b-3p_hsa-miR-516b-3p,miR-5358a_asu-miR-5358a,miR-142-3p_mmu-miR-142-3p"	"1,1,1,1,1,1"	"SNORA62,SNORA62,miRNA,miRNA,miRNA"
KB742877.1	180000	200000	1	-7.223908435	25	25	"miR-2323_bta-miR-2323,novel_mir_84,ENSAPLT00000001385,ENSAPLT00000001177"	"1,1,7,8"	"miRNA,miRNA,<32171+CX3CR1,>93296+CCK"
KB742883.1	60000	80000	1	-4.660614704	252	252	"ENSAPLT00000007560,miR-1577_gga-miR-1577,ENSAPLT00000007369,ENSAPLT00000007563"	"1,1,3,4"	"miRNA,ALKBH5"
KB742885.1	120000	150000	2	-5.19550201	57	109	"ENSAPLT00000007247,miR-4498_hsa-miR-4498"	"4,6"	"WDR18,miRNA"
KB742887.1	430000	460000	2	-5.518456335	34	35	ENSAPLT00000007793	4	FAR2
KB742887.1	550000	570000	1	-4.062717863	43	43	"miR-2313_bta-miR-2313,ENSAPLT00000008037"	"1,3"	"miRNA,SLCO1C1"
KB742887.1	1240000	1260000	1	-4.525334872	60	60	"ENSAPLT00000009093,ENSAPLT00000009394"	"7,8"	"<16050-AEBP2,>4100-PLEKHA5"
KB742887.1	1550000	1600000	3	-4.908797855	42	42	"ENSAPLT00000010287,ENSAPLT00000010372"	"3,4"	"PLCZ1,PIK3C2G"
KB742887.1	2060000	2080000	1	-5.128037263	41	41	ENSAPLT00000011059	7	<137136+RERGL
KB742887.1	2340000	2360000	1	-4.762868324	31	31	"miR-623_ppy-miR-623,ENSAPLT00000011097"	"1,8"	"miRNA,>91484+LMO3"
KB742887.1	2410000	2430000	1	-4.289114993	15	15	ENSAPLT00000011097	8	>21484+LMO3
KB742887.1	2560000	2580000	1	-4.198155119	51	51	"miR-7a-5p_sme-miR-7a-5p,miR-1984_hru-miR-1984,miR-466b-1*_rno-miR-466b-1*,ENSAPLT00000011170"	"1,1,1,4"	"miRNA,miRNA,miRNA,MGST1"
KB742895.1	130000	150000	1	-4.812347254	98	98	ENSAPLT00000006694	4	RAI14
KB742895.1	560000	580000	1	-4.305479181	122	122	"miR-344e-5p_mmu-miR-344e-5p,ENSAPLT00000007681"	"1,4"	"miRNA,LMBRD2"
KB742895.1	610000	670000	4	-4.343785749	46	83	"ENSAPLT00000008197,ENSAPLT00000008414,miR-1749_gga-miR-1749,ENSAPLT00000008015,ENSAPLT00000008418"	"1,1,1,3,4"	"NADK2,RANBP3L,miRNA,SKP2,RANBP3L"
KB742900.1	0	60000	4	-1.694246341	77	89	"miR-19a-5p_hsa-miR-19a-5p,miR-61a*_sme-miR-61a*,miR-998-5p_dme-miR-998-5p,miR-2742_bmo-miR-2742,ENSAPLT00000013331"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,PTCH1"
KB742900.1	70000	180000	10	-1.549780262	39	144	"ENSAPLT00000014118,novel_mir_1043,miR-3158-5p_hsa-miR-3158-5p,miR-1740_gga-miR-1740,miR-1421x_oan-miR-1421x"	"1,1,1,1,1"	"FANCC,miRNA,miRNA,miRNA,miRNA"
KB742900.1	190000	220000	2	-2.032746145	93	96	ENSAPLT00000014329	3	
KB742900.1	250000	280000	2	-1.62198248	129	148	"miR-61a*_sme-miR-61a*,miR-520d-3p_hsa-miR-520d-3p,ENSAPLT00000014329,ENSAPLT00000014349"	"1,1,7,8"	"miRNA,miRNA,<44377-,>11892-"
KB742900.1	510000	550000	3	-2.345365341	68	105	"miR-239b_crm-miR-239b,ENSAPLT00000015325,miR-3481-5p_sja-miR-3481-5p"	"1,3,6"	"miRNA,DAPK1,miRNA"
KB742900.1	720000	750000	2	-1.666359703	53	57	"miR-4800-5p_hsa-miR-4800-5p,miR-2050_nve-miR-2050,miR-23a_dre-miR-23a,miR-23a-3p_hsa-miR-23a-3p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-181b*_oan-miR-181b*,miR-181b-1-3p_mmu-miR-181b-1-3p,ENSAPLT00000015325"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,<178337-DAPK1"
KB742900.1	770000	790000	1	-1.709216184	102	102			
KB742900.1	800000	820000	1	-1.524335739	70	70	"miR-2733d_bmo-miR-2733d,ENSAPLT00000016201"	"1,8"	"miRNA,>171618+ZCCHC6"
KB742900.1	850000	870000	1	-2.034120221	113	113	"miR-4099-3p_cin-miR-4099-3p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,miR-4800-5p_hsa-miR-4800-5p,ENSAPLT00000016201"	"1,1,1,1,1,1,1,1,1,1,1,1,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,>121618+ZCCHC6"
KB742900.1	930000	950000	1	-1.534377724	114	114	ENSAPLT00000016201	8	>41618+ZCCHC6
KB742900.1	1100000	1130000	2	-1.532790784	12	27	ENSAPLT00000016584	3	NAA35
KB742905.1	360000	400000	3	-1.820630659	60	69	"miR-146b*_tgu-miR-146b*,novel_mir_331,novel_mir_730,miR-3622a-5p_hsa-miR-3622a-5p,miR-3942-3p_hsa-miR-3942-3p,miR-410-3p_mmu-miR-410-3p,ENSAPLT00000017037"	"1,1,1,1,1,1,7"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,<34007-"
KB742916.1	30000	50000	1	-4.211204974	55	55	miR-55*_crm-miR-55*	1	miRNA
KB742918.1	410000	430000	1	-1.93614041	150	150	"ENSAPLT00000009620,ENSAPLT00000009634"	"7,8"	"<69693-PTAR1,>12427+MAMDC2"
KB742918.1	570000	590000	1	-1.520661229	105	105	"novel_mir_765,ENSAPLT00000010284"	"1,6"	"miRNA,TRPM3"
KB742918.1	670000	700000	2	-1.739343237	85	133	"ENSAPLT00000010284,miR-4555_pma-miR-4555"	"2,6"	"TRPM3,miRNA"
KB742918.1	770000	850000	7	-1.628646516	59	131	"miR-1728-3p_gga-miR-1728-3p,ENSAPLT00000010284"	"1,7"	"miRNA,<30336-TRPM3"
KB742928.1	580000	600000	1	-4.50888163	116	116			
KB742928.1	620000	640000	1	-7.048504804	30	30			
KB742928.1	1140000	1160000	1	-4.289742787	68	68	miR-1612_gga-miR-1612	1	miRNA
KB742929.1	20000	40000	1	-4.749530902	86	86	"miR-431-3p_mmu-miR-431-3p,ENSAPLT00000012566,ENSAPLT00000012710"	"1,3,6"	"miRNA,ERCC3,CYP27C1"
KB742931.1	3580000	3600000	1	-5.138260827	39	39	ENSAPLT00000001184	7	<24193-
KB742958.1	50000	70000	1	-4.303265687	149	149	"miR-2441_bta-miR-2441,ENSAPLT00000005402"	"1,3"	"miRNA,KIAA0513"
KB742969.1	90000	110000	1	-4.500635761	44	44	"miR-2491-3p_dme-miR-2491-3p,miR-3540_gga-miR-3540,ENSAPLT00000011847"	"1,1,2"	"miRNA,miRNA,TMEM132B"
KB742969.1	410000	430000	1	-8.525181419	24	24	ENSAPLT00000001260	8	>111651+
KB742969.1	490000	520000	2	-5.936747006	25	34	"miR-383_hsa-miR-383,ENSAPLT00000001260"	"1,8"	"miRNA,>21651+"
KB742969.1	810000	830000	1	-5.726734519	66	66	ENSAPLT00000012003	3	TMEM132C
KB742969.1	1130000	1160000	2	-4.648212959	76	78	"miR-4553_pma-miR-4553,ENSAPLT00000012672"	"1,3"	"miRNA,TMEM132D"
KB742976.1	80000	100000	1	-5.637355871	25	25	"ENSAPLT00000001085,novel_mir_1176"	"1,1"	"DBNL,miRNA"
KB742977.1	460000	480000	1	-4.284246124	99	99	ENSAPLT00000002033	8	>74520+FAM84B
KB742977.1	630000	650000	1	-5.147495698	92	92	"miR-2300b-3p_bta-miR-2300b-3p,ENSAPLT00000002033"	"1,7"	"miRNA,<74626+FAM84B"
KB742983.1	60000	80000	1	-1.73483796	84	84	"miR-4622_pma-miR-4622,novel_mir_352,miR-3843-5p_tca-miR-3843-5p,ENSAPLT00000005615,ENSAPLT00000005901"	"1,1,1,7,8"	"miRNA,miRNA,miRNA,<4486+PDE4D,>18475-RAB3C"
KB742983.1	260000	280000	1	-1.621240128	76	76	"miR-80*_crm-miR-80*,miR-892a_ppy-miR-892a,ENSAPLT00000005901,ENSAPLT00000005954"	"1,1,7,8"	"miRNA,miRNA,<39727-RAB3C,>8409+PLK2"
KB742983.1	290000	310000	1	-1.961129693	52	52	"miR-25_sha-miR-25,ENSAPLT00000005954"	"1,3"	"miRNA,PLK2"
KB742983.1	330000	350000	1	-2.351480423	36	36	"miR-548g-3p_hsa-miR-548g-3p,miR-2723_bmo-miR-2723,ENSAPLT00000005954"	"1,1,7"	"miRNA,miRNA,<36785+PLK2"
KB742983.1	360000	380000	1	-2.246066417	39	39	ENSAPLT00000005954	7	<66785+PLK2
KB742983.1	410000	430000	1	-1.849706083	78	78	"miR-430c_pma-miR-430c,miR-2052_hsa-miR-2052,ENSAPLT00000005954"	"1,1,7"	"miRNA,miRNA,<116785+PLK2"
KB742983.1	450000	470000	1	-2.264503638	54	54	ENSAPLT00000005954	7	<156785+PLK2
KB742983.1	550000	570000	1	-2.671685893	73	73	"miR-7-1-3p_hsa-miR-7-1-3p,miR-7a*_pma-miR-7a*,novel_mir_584"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742983.1	650000	680000	2	-1.749238377	65	75	"miR-752-3p_sme-miR-752-3p,miR-1018_cel-miR-1018,ENSAPLT00000006679"	"1,6,8"	"miRNA,miRNA,>98409-"
KB742983.1	690000	760000	6	-2.127278373	49	72	"miR-3479-5p_sja-miR-3479-5p,miR-236_bma-miR-236,miR-4503_hsa-miR-4503,novel_mir_374,ENSAPLT00000006679"	"1,1,1,1,8"	"miRNA,miRNA,miRNA,miRNA,>18409-"
KB742983.1	790000	860000	6	-1.64608094	35	95	"ENSAPLT00000006894,ENSAPLT00000007202,miR-5192_hsa-miR-5192,miR-548au-5p_hsa-miR-548au-5p,miR-51-3p_cel-miR-51-3p,ENSAPLT00000006679"	"1,1,1,1,1,3"	"SETD9,miRNA,miRNA,miRNA"
KB742984.1	1630000	1660000	2	-4.239147087	66	66	ENSAPLT00000009439	2	VAT1L
KB742984.1	1730000	1750000	1	-4.599630473	36	36	"miR-1657_gga-miR-1657,ENSAPLT00000009685"	"1,2"	"miRNA,WWOX"
KB742984.1	1780000	1810000	2	-4.820783373	51	52	"novel_mir_916,ENSAPLT00000009685"	"1,2"	"miRNA,WWOX"
KB742984.1	3460000	3480000	1	-4.144489832	98	98	ENSAPLT00000011198	2	PLCG2
KB742984.1	3490000	3510000	1	-5.436046399	63	63	"miR-4030-3p_cin-miR-4030-3p,ENSAPLT00000011198,ENSAPLT00000012095"	"1,3,4"	"miRNA,PLCG2,AGTPBP1"
KB742985.1	80000	100000	1	-1.637409316	144	144	"miR-969*_dps-miR-969*,ENSAPLT00000007500"	"1,3"	"miRNA,SH3GL2"
KB742986.1	40000	60000	1	-3.093626505	30	30			
KB742986.1	170000	190000	1	-2.05889616	51	51			
KB742993.1	730000	750000	1	-6.321523028	154	154	ENSAPLT00000001229	7	<62665+ALX1
KB742997.1	100000	130000	2	-4.322614944	45	54	"ENSAPLT00000000501,miR-4544*_pma-miR-4544*,miR-4205-5p_cin-miR-4205-5p,miR-5358a*_asu-miR-5358a*,miR-1565_gga-miR-1565,miR-2709_cte-miR-2709"	"1,1,1,1,1,1"	"5S_rRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742997.1	370000	390000	1	-4.364473971	45	45	novel_mir_1191	1	miRNA
KB742999.1	790000	810000	1	-4.000361783	71	71	ENSAPLT00000001282	7	<38627+
KB743004.1	520000	540000	1	-5.657172099	65	65	ENSAPLT00000012399	2	CBLB
KB743004.1	570000	590000	1	-4.423539686	61	61	"novel_mir_772,miR-2553*_dps-miR-2553*,ENSAPLT00000012399"	"1,1,3"	"miRNA,miRNA,CBLB"
KB743004.1	860000	880000	1	-4.927531978	67	67	novel_mir_1213	1	miRNA
KB743004.1	1080000	1100000	1	-4.423857312	67	67	miR-2358_bta-miR-2358	1	miRNA
KB743008.1	220000	240000	1	-5.369794424	202	202	"ENSAPLT00000000379,ENSAPLT00000013468,miR-338_rno-miR-338,miR-338-3p_aca-miR-338-3p,miR-338*_rno-miR-338*,miR-338-5p_tgu-miR-338-5p,miR-1763_gga-miR-1763,miR-1666_gga-miR-1666,novel_mir_1118,novel_mir_1118,ENSAPLT00000013416"	"1,1,1,1,1,1,1,1,1,1,3"	"ST6GALNAC2,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,AATK"
KB743020.1	640000	660000	1	-4.372744789	66	66	ENSAPLT00000010288	7	<70475-
